state,abbrev,votes,winner,datetime,date,time,trump_win,clinton_win,trump_new,clinton_new,trump_net,clinton_net,gop_pct_2012,gop_strength,gop_pct_2016,two_prty_votes_2017,delta,vote_delta,prior
Utah,UT,6,TRUMP,11/8/2016 23:52,11/8/2016,11:52 PM,1,0,6,0,238,209,0.7463,5,0.6238,"992,413",-0.122,"-121,496",0.7463
California,CA,55,CLINTON,11/8/2016 23:00,11/8/2016,11:00 PM,0,1,0,55,201,186,0.3813,1,0.3387,"12,694,243",-0.043,"-540,192",0.3813
Texas,TX,38,TRUMP,11/8/2016 21:00,11/8/2016,9:00 PM,1,0,38,0,116,68,0.5801,4,0.5471,"7,877,967",-0.033,"-259,553",0.5801
DistrictofColumbia,DC,3,CLINTON,11/8/2016 20:00,11/8/2016,8:00 PM,0,1,0,3,31,44,0.0741,1,0.043,"288,451",-0.031,"-8,964",0.0741
Massachusetts,MA,11,CLINTON,11/8/2016 20:00,11/8/2016,8:00 PM,0,1,0,11,31,27,0.3821,1,0.3535,"3,109,604",-0.029,"-89,109",0.3821
Arizona,AZ,11,TRUMP,11/10/2016 16:45,11/10/2016,4:45 PM,1,0,11,0,290,228,0.5461,3,0.5189,"2,258,886",-0.027,"-61,518",0.5461
Nebraska2ndDist,NE2,1,TRUMP,11/9/2016 2:01,11/9/2016,2:01 AM,1,0,1,0,266,218,0.5363,3,0.5122,"262,865",-0.024,"-6,346",0.5363
Georgia,GA,16,TRUMP,11/8/2016 23:33,11/8/2016,11:33 PM,1,0,16,0,232,209,0.5396,3,0.5266,"3,852,515",-0.013,"-49,908",0.5396
Washington,WA,12,CLINTON,11/8/2016 23:28,11/8/2016,11:28 PM,0,1,0,12,216,209,0.4237,2,0.4121,"3,046,066",-0.012,"-35,293",0.4237
Virginia,VA,13,CLINTON,11/8/2016 22:40,11/8/2016,10:40 PM,0,1,0,13,168,122,0.4803,3,0.4717,"3,794,342",-0.009,"-32,593",0.4803
Maryland,MD,10,CLINTON,11/8/2016 20:00,11/8/2016,8:00 PM,0,1,0,10,31,16,0.3668,1,0.3598,"2,649,713",-0.007,"-18,403",0.3668
Illinois,IL,20,CLINTON,11/8/2016 20:58,11/8/2016,8:58 PM,0,1,0,20,66,68,0.4142,2,0.4098,"5,154,728",-0.004,"-22,811",0.4142
Kansas,KS,6,TRUMP,11/8/2016 21:00,11/8/2016,9:00 PM,1,0,6,0,72,68,0.6111,5,0.6111,"1,133,360",0,-21,0.6111
Colorado,CO,9,CLINTON,11/8/2016 22:43,11/8/2016,10:43 PM,0,1,0,9,168,131,0.4725,3,0.4732,"2,508,344",0.001,"1,622",0.4725
Oregon,OR,7,CLINTON,11/8/2016 23:05,11/8/2016,11:05 PM,0,1,0,7,201,197,0.4373,2,0.4384,"1,724,663",0.001,"1,989",0.4373
NewMexico,NM,5,CLINTON,11/8/2016 22:21,11/8/2016,10:21 PM,0,1,0,5,140,109,0.447,2,0.4535,"751,123",0.006,"4,840",0.447
NorthCarolina,NC,15,TRUMP,11/8/2016 23:11,11/8/2016,11:11 PM,1,0,15,0,216,197,0.5103,3,0.519,"4,448,786",0.009,"38,692",0.5103
Florida,FL,29,TRUMP,11/8/2016 22:50,11/8/2016,10:50 PM,1,0,29,0,197,131,0.4956,3,0.5062,"8,401,203",0.011,"89,144",0.4956
Alaska,AK,3,TRUMP,11/9/2016 11:58,11/9/2016,11:58 AM,1,0,3,0,279,228,0.5732,4,0.5839,"287,316",0.011,"3,075",0.5732
Louisiana,LA,8,TRUMP,11/8/2016 21:28,11/8/2016,9:28 PM,1,0,8,0,137,104,0.5875,4,0.6017,"1,961,403",0.014,"27,947",0.5875
Connecticut,CT,7,CLINTON,11/8/2016 21:26,11/8/2016,9:26 PM,0,1,0,7,129,104,0.4123,2,0.4286,"1,539,975",0.016,"25,117",0.4123
NewJersey,NJ,14,CLINTON,11/8/2016 20:00,11/8/2016,8:00 PM,0,1,0,14,31,41,0.4101,2,0.4272,"3,602,669",0.017,"61,341",0.4101
Idaho,ID,4,TRUMP,11/8/2016 23:00,11/8/2016,11:00 PM,1,0,4,0,201,131,0.6642,5,0.6831,"633,698",0.019,"11,969",0.6642
Nevada,NV,6,CLINTON,11/9/2016 12:20,11/9/2016,12:20 PM,0,1,0,6,244,215,0.4659,3,0.4871,"994,940",0.021,"21,031",0.4659
Arkansas,AR,6,TRUMP,11/8/2016 21:08,11/8/2016,9:08 PM,1,0,6,0,129,97,0.6215,5,0.6429,"1,042,153",0.021,"22,205",0.6215
SouthCarolina,SC,9,TRUMP,11/8/2016 20:09,11/8/2016,8:09 PM,1,0,9,0,40,44,0.5531,4,0.5746,"1,937,586",0.022,"41,697",0.5531
Nebraska,NE,3,TRUMP,11/8/2016 21:00,11/8/2016,9:00 PM,1,0,2,0,121,97,0.6113,5,0.6355,"777,145",0.024,"18,794",0.6113
NewYork,NY,29,CLINTON,11/8/2016 21:00,11/8/2016,9:00 PM,0,1,0,29,119,97,0.357,1,0.3823,"6,976,172",0.025,"176,389",0.357
Oklahoma,OK,7,TRUMP,11/8/2016 20:00,11/8/2016,8:00 PM,1,0,7,0,31,3,0.6677,5,0.693,"1,334,872",0.025,"33,805",0.6677
NewHampshire,NH,4,CLINTON,11/13/2016 13:10,11/13/2016,1:10 PM,0,1,0,4,290,232,0.4717,3,0.498,"699,479",0.026,"18,443",0.4717
Nebraska1stDist,NE1,1,TRUMP,11/8/2016 21:00,11/8/2016,9:00 PM,1,0,1,0,122,97,0.5845,4,0.613,"260,103",0.029,"7,433",0.5845
Maine1stDist,ME1,1,CLINTON,11/9/2016 1:56,11/9/2016,1:56 AM,0,1,0,1,264,218,0.3906,1,0.4205,"365,972",0.03,"10,948",0.3906
Vermont,VT,3,CLINTON,11/8/2016 18:59,11/8/2016,6:59 PM,0,1,0,3,19,3,0.3175,1,0.3481,"291,937",0.031,"8,936",0.3175
Pennsylvania,PA,20,TRUMP,11/9/2016 1:35,11/9/2016,1:35 AM,1,0,20,0,264,215,0.4727,3,0.5038,"5,670,708",0.031,"176,216",0.4727
Minnesota,MN,10,CLINTON,11/9/2016 11:09,11/9/2016,11:09 AM,0,1,0,10,276,228,0.4606,3,0.4917,"2,866,392",0.031,"89,127",0.4606
Alabama,AL,9,TRUMP,11/8/2016 20:26,11/8/2016,8:26 PM,1,0,9,0,60,44,0.6122,5,0.6437,"2,051,621",0.032,"64,788",0.6122
Tennessee,TN,11,TRUMP,11/8/2016 20:13,11/8/2016,8:13 PM,1,0,11,0,51,44,0.6035,5,0.6362,"2,423,039",0.033,"79,313",0.6035
Mississippi,MS,6,TRUMP,11/8/2016 20:51,11/8/2016,8:51 PM,1,0,6,0,66,48,0.558,4,0.5909,"1,273,695",0.033,"41,878",0.558
Delaware,DE,3,CLINTON,11/8/2016 20:00,11/8/2016,8:00 PM,0,1,0,3,31,6,0.4055,2,0.44,"408,068",0.034,"14,072",0.4055
Wisconsin,WI,10,TRUMP,11/9/2016 2:29,11/9/2016,2:29 AM,1,0,10,0,276,218,0.4648,3,0.5041,"3,028,951",0.039,"118,867",0.4648
Montana,MT,3,TRUMP,11/8/2016 22:00,11/8/2016,10:00 PM,1,0,3,0,140,104,0.5703,4,0.6111,"469,767",0.041,"19,145",0.5703
Kentucky,KY,8,TRUMP,11/8/2016 18:59,11/8/2016,6:59 PM,1,0,8,0,19,0,0.6154,5,0.6567,"1,766,560",0.041,"72,921",0.6154
Hawaii,HI,4,CLINTON,11/8/2016 23:00,11/8/2016,11:00 PM,0,1,0,4,201,190,0.283,1,0.3256,"427,673",0.043,"18,230",0.283
Wyoming,WY,3,TRUMP,11/8/2016 21:00,11/8/2016,9:00 PM,1,0,3,0,119,68,0.7116,5,0.7571,"240,248",0.045,"10,919",0.7116
Indiana,IN,11,TRUMP,11/8/2016 18:59,11/8/2016,6:59 PM,1,0,11,0,11,0,0.552,4,0.6012,"2,573,430",0.049,"126,534",0.552
Michigan,MI,16,TRUMP,11/13/2016 13:10,11/13/2016,1:10 PM,1,0,16,0,306,232,0.452,3,0.5012,"4,679,825",0.049,"230,163",0.452
Missouri,MO,10,TRUMP,11/8/2016 22:25,11/8/2016,10:25 PM,1,0,10,0,150,109,0.5478,3,0.5982,"2,706,236",0.05,"136,391",0.5478
RhodeIsland,RI,4,CLINTON,11/8/2016 20:39,11/8/2016,8:39 PM,0,1,0,4,60,48,0.3598,1,0.4169,"436,881",0.057,"24,929",0.3598
Ohio,OH,18,TRUMP,11/8/2016 22:36,11/8/2016,10:36 PM,1,0,18,0,168,109,0.4849,3,0.5427,"5,489,146",0.058,"317,395",0.4849
Maine,ME,2,CLINTON,11/9/2016 1:56,11/9/2016,1:56 AM,0,1,0,2,264,217,0.4214,2,0.484,"693,582",0.063,"43,440",0.4214
SouthDakota,SD,3,TRUMP,11/8/2016 21:00,11/8/2016,9:00 PM,1,0,3,0,78,68,0.5922,4,0.6597,"355,649",0.068,"24,018",0.5922
Nebraska3rdDist,NE3,1,TRUMP,11/8/2016 21:00,11/8/2016,9:00 PM,1,0,1,0,123,97,0.7163,5,0.7893,"254,177",0.073,"18,561",0.7163
Iowa,IA,6,TRUMP,11/9/2016 12:02,11/9/2016,12:02 PM,1,0,6,0,244,209,0.4704,3,0.5506,"1,553,161",0.08,"124,609",0.4704
WestVirginia,WV,5,TRUMP,11/8/2016 19:30,11/8/2016,7:30 PM,1,0,5,0,24,3,0.6367,5,0.7216,"655,924",0.085,"55,667",0.6367
NorthDakota,ND,3,TRUMP,11/8/2016 21:00,11/8/2016,9:00 PM,1,0,3,0,75,68,0.6012,5,0.6981,"312,990",0.097,"30,333",0.6012
Maine2ndDist,ME2,1,TRUMP,11/9/2016 1:56,11/9/2016,1:56 AM,1,0,1,0,265,218,0.456,3,0.5558,"327,213",0.1,"32,639",0.456
